section,id,question,options,correct,multi,notas,metrics,second_question,second_options,second_correct,second_explanation
Implement a Data Warehouse with Microsoft Fabric,11,You want to track slowly changing attributes in a Customer dimension so that historical reports reflect previous values. Which design is most appropriate?,Overwrite Customer attributes in place;Use a Type 2 slowly changing dimension with surrogate keys;Store old values in a separate CSV file;Ignore historical attribute changes,2,false,,3;1,,,,
Implement a Data Warehouse with Microsoft Fabric,12,You need to support multiple time zones in analytical queries. Which modeling approach is recommended for dates and times?,Store all timestamps as local time only;Store timestamps in UTC and convert in queries;Store times without dates;Use free-text date columns,2,false,,3;1,,,,
Implement a Data Warehouse with Microsoft Fabric,13,You are designing a grain for a Sales fact table. Which description best defines the fact table grain?,"One row per product category;One row per day;One row per customer;One row per customer, product, and day",4,false,,4;0,,,,
Implement a Data Warehouse with Microsoft Fabric,14,Which scenario is most appropriate for using a degenerate dimension?,When you need to store unstructured JSON;When a transaction identifier needs to be used for reporting;When you have a very large text description field;When you want to store images,2,false,,3;1,,,,
Implement a Data Warehouse with Microsoft Fabric,15,You want to reduce data volume in a very large fact table while preserving essential trends. Which technique is most suitable?,Delete all rows older than one month;Aggregate historical data to a higher grain in a summary table;Store raw data only in CSV;Disable compression,2,false,,4;0,,,,
Implement a Data Warehouse with Microsoft Fabric,16,"During an incremental load, you must identify which rows to load from the source. Which column is best suited for this purpose?",CustomerName;LastModifiedDate;ProductDescription;CalculatedMargin,2,false,,3;1,,,,
Implement a Data Warehouse with Microsoft Fabric,17,You need to design surrogate keys for dimension tables. Which statement is correct?,Surrogate keys should use business keys such as CustomerCode;Surrogate keys are typically integer identities unrelated to business meaning;Surrogate keys must be GUID strings;Dimensions should not use surrogate keys,2,false,,2;2,,,,
Implement a Data Warehouse with Microsoft Fabric,18,A reporting team needs near-real-time access to a warehouse table but can tolerate a few minutes of delay. Which loading strategy is most appropriate?,Single daily batch at midnight;Micro-batches every few minutes;Full reload every hour;Manual ad-hoc inserts by analysts,2,false,,3;1,,,,
Implement a Data Warehouse with Microsoft Fabric,19,You want to expose warehouse data to Power BI with the lowest latency and without importing data into a dataset. Which connectivity mode is most suitable?,Import mode;DirectQuery to the Fabric warehouse;Export to CSV then load;Analyze in Excel only,2,false,,4;0,,,,
Implement a Data Warehouse with Microsoft Fabric,20,Which operation in a Fabric data warehouse benefits most from properly maintained statistics?,File uploads;Ad-hoc T-SQL queries with filters and joins;Notebook markdown rendering;Capacity assignment,2,false,,4;0,,,,
Implement a Data Warehouse with Microsoft Fabric,21,You plan to partition a large fact table. Which column is usually the best candidate for partitioning?,CustomerName;OrderDate;ProductDescription;SalesAmount,2,false,,4;0,,,,
Implement a Data Warehouse with Microsoft Fabric,22,You need to support both detailed and aggregated reporting. How should you design your model?,Store only detailed facts and aggregate at query time;Create aggregate tables for common queries in addition to detailed facts;Use only preaggregated facts and drop detailed data;Use only Excel pivot tables,2,false,,4;0,,,,
Implement a Data Warehouse with Microsoft Fabric,23,You want to ensure that business logic for calculations such as GrossMargin is centrally managed and reused. Where should you implement this logic first?,In multiple Power BI measures only;Directly inside every report query;In a calculated column or view in the warehouse;In manual Excel workbooks,3,false,,4;0,,,,
Implement a Data Warehouse with Microsoft Fabric,24,You must design a conformed dimension shared between Sales and Inventory fact tables. What is the main benefit?,Each fact table must store its own attributes;Reports can join facts consistently using the same dimension;You avoid creating any relationships;You eliminate the need for surrogate keys,2,false,,4;0,,,,
Implement a Data Warehouse with Microsoft Fabric,25,You want to track when facts were loaded into the warehouse for auditing purposes. Which column is most appropriate to add to the fact table?,Business transaction date;LoadDate;CustomerBirthday;TextComment,2,false,,3;1,,,,
Implement a Data Warehouse with Microsoft Fabric,26,An analyst requests the ability to run what-if scenarios without affecting production data. Which approach is most suitable in a Fabric warehouse?,Allow direct updates on fact tables;Create a dedicated sandbox schema or database;Export all tables to CSV;Give admin rights to the analyst,2,false,,4;0,,,,
Implement a Data Warehouse with Microsoft Fabric,27,You are designing an ETL process from a lakehouse into a warehouse. Which step should typically occur last?,Extract raw files from source systems;Transform data into a star schema;Validate business keys and create surrogate keys;Load staging tables and then dimensional/fact tables,4,false,,4;0,,,,
Implement a Data Warehouse with Microsoft Fabric,28,You must handle late-arriving dimension records when loading facts. Which strategy is commonly used?,Reject all late facts;Use a default “Unknown” dimension member and update later;Delete old facts;Store late facts in a text file,2,false,,4;0,,,,
Implement a Data Warehouse with Microsoft Fabric,29,You want to separate development and production workloads in Fabric while using the same logical model. Which practice is recommended?,Use a single workspace for all environments;Create separate workspaces or databases for dev and prod;Mix dev and prod tables in one schema;Allow developers to update prod tables directly,2,false,,4;0,,,,
Implement a Data Warehouse with Microsoft Fabric,30,You need to minimize the impact of ETL failures on reporting. Which approach is most appropriate?,Load data directly into reporting tables without staging;Use staging tables and swap into reporting tables only after successful loads;Allow partial loads into reporting tables;Disable error handling in pipelines,2,false,,4;0,What is the main benefit of using staging tables?,Minimize impact of failures;Allow partial loads;Disable error handling;Improve load speed,1,Staging tables allow data validation before loading into reporting tables
