section,id,question,options,correct,multi,notas,metrics,second_question,second_options,second_correct,second_explanation
Use Eventstream in Microsoft Fabric,6,What is a typical destination for Eventstream output in a Real-Time Intelligence architecture?,Eventhouse KQL database for real-time queries;KQL tables that store hot streaming data;Real-time storage feeding dashboards and alerts;Analytics databases optimized for event data;Tables that act as primary stores for telemetry,1,false,,5;1,,,,
Use Eventstream in Microsoft Fabric,7,How do derived Eventstreams extend the capabilities of Eventstreams?,They build new streams on existing ones with extra logic;They recompute views without adding new sources;They project enriched versions of a base stream;They carve specialized flows from a raw event pipeline;They create secondary paths for different analytics,1,false,Meaning of They carve specialized flows from a raw event pipeline,16;4,,,,
Use Eventstream in Microsoft Fabric,8,Why is Eventstream considered a good option for handling streaming data without custom code?,It offers a visual way to define streaming paths;It hides most infrastructure behind configuration;It lets you set filters and routes in the UI;It replaces many custom streaming jobs with rules;It supports rich patterns without handwritten code,1,false,,5;1,,,,
Use Eventstream in Microsoft Fabric,9,Which statement best describes the relationship between Eventstream and Eventhouse?,Eventstream feeds processed events into Eventhouse;Eventstream is the ingestion front door Eventhouse the store;Eventstream controls how events land in KQL tables;Eventstream prepares streams that Eventhouse queries at scale;Eventstream routes streaming data into Eventhouse for insight,1,false,,12;3,,,,
Use Eventstream in Microsoft Fabric,10,What is one typical transformation example you might perform in an Eventstream?,Windowed aggregation over a time interval;Grouping events by key with sliding windows;Deriving counts or averages per time bucket;Collapsing raw events into summarized slices;Building rolling metrics for later analysis,1,false,,12;3,,,,
Use Eventstream in Microsoft Fabric,11,How does Eventstream support content-based routing?,By directing events to destinations when rules match;By checking event fields to choose different targets;By applying filters so patterns go to specific sinks;By inspecting payload content before routing;By sending subsets of events to distinct outputs,1,false,,6;1,,,,
Use Eventstream in Microsoft Fabric,12,Which type of data is Eventstream primarily designed to handle?,Continuous time ordered event data from streams;High velocity signals arriving as ongoing flows;Telemetry records emitted as an unending stream;Event sequences needing low latency processing;Live operational data where timing matters,1,false,,12;3,,,,
Use Eventstream in Microsoft Fabric,13,What is a common benefit of using Eventstream instead of custom streaming code?,Centralizing streaming logic in a managed UI;Reducing custom infrastructure while keeping monitoring;Lowering operational effort with managed components;Standardizing ingestion instead of custom apps;Simplifying routing changes through configuration,1,false,,16;4,,,,
Use Eventstream in Microsoft Fabric,14,In a Real-Time Intelligence solution where does Eventstream typically sit in the logical architecture?,Between real-time producers and analytic targets;As the streaming layer between sources and Eventhouse;In the ingestion tier shaping traffic into stores;In front of databases and dashboards as a control point;As the orchestrator of how live streams reach endpoints,1,false,,20;5,,,,
Use Eventstream in Microsoft Fabric,15,Which scenario best illustrates the appropriate use of Eventstream?,Routing website clickstream into Eventhouse and dashboards;Streaming app telemetry into real-time analytic stores;Funneling user interactions to storage and alerting;Driving a pipeline from event hubs into KQL;Bridging high volume interaction data into insights,1,false,,8;2,,,,
Work with real-time data in an Eventhouse in Microsoft Fabric,1,What is an Eventhouse in Microsoft Fabric?,A Real-Time analytics workspace that hosts KQL databases for event data;A file-based store for Parquet files only;A Power BI workspace for semantic models;A Data Factory pipeline container;A dedicated SQL pool for OLTP workloads,1,false,,1;0,,,,
Work with real-time data in an Eventhouse in Microsoft Fabric,2,Which type of database does an Eventhouse primarily use?,KQL database optimized for time-series and log analytics;Traditional OLTP relational database;Document database for JSON only;Key-value store for caching only;XML-native hierarchical database,1,false,,1;0,,,,
Work with real-time data in an Eventhouse in Microsoft Fabric,3,What is the main advantage of storing data in an Eventhouse KQL database?,Fast analytical queries over large volumes of time-series events;Strict enforcement of transactional integrity for updates;Automatic generation of star schemas for warehouses;Built-in rendering of paginated PDF reports;Native support for OLTP-style row-level locking,1,false,,1;0,,,,
Work with real-time data in an Eventhouse in Microsoft Fabric,4,How does Eventhouse typically receive data in a Real-Time Intelligence solution?,Via Eventstreams or other streaming ingestion into KQL tables;Only through nightly CSV bulk uploads;Direct manual inserts from Excel spreadsheets;Via PowerPoint file imports;Through REST APIs that only accept XML,1,false,,1;0,,,,
Work with real-time data in an Eventhouse in Microsoft Fabric,5,What is the role of tables inside an Eventhouse KQL database?,Logical containers that store ingested event records for querying;Visual canvases used only for dashboard layout;Security groups controlling workspace access;Folders for storing Power BI reports;Packages for deploying notebooks,1,false,,1;0,,,,
Work with real-time data in an Eventhouse in Microsoft Fabric,6,Which language is primarily used to query data in an Eventhouse?,Kusto Query Language (KQL);Transact-SQL (T-SQL) only;Python exclusively;DAX only;MDX only,1,false,,1;0,,,,
Work with real-time data in an Eventhouse in Microsoft Fabric,7,Why are time filters so common in Eventhouse queries?,Event data is time-stamped and often analyzed over specific periods;Time filters are required to insert new records;Time filters are the only supported predicate type;Eventhouse only stores a single timestamp per database;Time filters are used only to manage user logins,1,false,,1;0,,,,
Work with real-time data in an Eventhouse in Microsoft Fabric,8,Which scenario best fits using an Eventhouse?,Investigating spikes in telemetry events over the last 15 minutes;Managing transactional bank account balances;Designing a normalized OLTP schema for ERP;Storing static product master data;Hosting Power BI paginated report definitions,1,false,,1;0,,,,
Work with real-time data in an Eventhouse in Microsoft Fabric,9,How does Eventhouse integrate with Real-Time Dashboards?,KQL query results can be surfaced as tiles in Real-Time Dashboards;Real-Time Dashboards must export data back into Eventhouse;Eventhouse can only consume snapshots from dashboards;Dashboards and Eventhouse cannot interact;Dashboards overwrite Eventhouse tables automatically,1,false,,1;0,,,,
Work with real-time data in an Eventhouse in Microsoft Fabric,10,What is a typical ingestion pattern into an Eventhouse table?,Append-only streaming inserts of event records;Constant updates and deletes for each row;Enforcing strict referential integrity across tables;Bulg deletes and updates every second;Direct editing of records via Excel upload,1,false,,1;0,,,,
Work with real-time data in an Eventhouse in Microsoft Fabric,11,Why is schema-on-read less of a focus in an Eventhouse KQL database?,KQL databases typically define a schema at ingestion for performance;Eventhouse cannot store any schema metadata;All data must be stored as untyped blobs;Queries must infer types on every execution;Only JSON is allowed with no schema at all,1,false,,1;0,,,,
Work with real-time data in an Eventhouse in Microsoft Fabric,12,Which feature helps reduce the cost of querying large Eventhouse tables?,Using filters and time ranges to limit scanned data;Running all queries without any filters;Duplicating the same table multiple times;Exporting data to Excel before querying;Forcing all queries to use cross-database joins,1,false,,1;0,,,,
Work with real-time data in an Eventhouse in Microsoft Fabric,13,How can Eventhouse support both real-time and historical analysis?,It stores streaming events continuously while retaining past records for longer windows;It only holds data for a single second before deletion;It restricts queries to the last minute of data;It automatically deletes all data at midnight;It can only store pre-aggregated monthly snapshots,1,false,,1;0,,,,
Work with real-time data in an Eventhouse in Microsoft Fabric,14,What is a common pattern for using Eventhouse with other Fabric items?,Ingest data via Eventstream store in Eventhouse query with KQL visualize in dashboards;Store OLTP data directly expose via Lakehouse query with T-SQL only;Export Eventhouse data to PowerPoint then import to OneLake;Use Eventhouse solely as a backup location for CSV files;Host notebooks only without any data stored,1,false,,1;0,,,,
Work with real-time data in an Eventhouse in Microsoft Fabric,15,Which statement best summarizes the value of Eventhouse in Real-Time Intelligence?,It centralizes real-time event storage and querying for low-latency analytics;It replaces all warehouses lakes and semantic models in Fabric;It is used only for user authentication and access logging;It is a visualization-only layer for Power BI;It functions only as a connector to external SQL servers,1,false,,1;0,,,,
Create Real-Time Dashboards with Microsoft Fabric,1,What is the main purpose of a Real-Time Dashboard in Fabric?,To visualize and monitor metrics that update continuously from streaming data;To design complex ETL pipelines;To store raw event data in tables;To replace Power BI semantic models;To manage workspace-level security policies,1,false,,2;0,,,,
Create Real-Time Dashboards with Microsoft Fabric,2,How do Real-Time Dashboards differ from traditional static dashboards?,They support live tiles that update as new events arrive;They only refresh once a day;They can only display CSV snapshots;They cannot connect to streaming data;They require manual refresh for each tile,1,false,,2;0,,,,
Create Real-Time Dashboards with Microsoft Fabric,3,Which type of data source is especially suited for Real-Time Dashboard tiles?,KQL queries over Eventhouse or other real-time sources;Manually entered values in a form;Static PDF documents stored in SharePoint;Images embedded in PowerPoint slides;Local Excel files with yearly summaries,1,false,,2;0,,,,
Create Real-Time Dashboards with Microsoft Fabric,4,What is one key benefit of using Real-Time Dashboards for operations teams?,Ability to react quickly to anomalies and threshold breaches;Guarantee of no changes during business hours;Automatic generation of monthly invoices;Replacement of all ticketing systems;Locking all metrics until quarter end,1,false,,2;0,,,,
Create Real-Time Dashboards with Microsoft Fabric,5,How can Real-Time Dashboards help with alerting scenarios even before Activator is involved?,By making trends and spikes visible immediately on live tiles;By sending emails directly without any data;By replacing all log retention policies;By preventing any visual change in metrics;By forcing users to export data to CSV first,1,false,,2;0,,,,
Create Real-Time Dashboards with Microsoft Fabric,6,What is a typical source used to feed Real-Time Dashboards in a Real-Time Intelligence solution?,Eventhouse KQL queries or Real-Time hub streams;On-prem SSRS report servers only;Local PowerPoint decks;Standalone CSV files without refresh;Static image libraries,1,false,,2;0,,,,
Create Real-Time Dashboards with Microsoft Fabric,7,Which design principle is especially important when building Real-Time Dashboards?,Highlighting the most critical live KPIs and reducing visual clutter;Including as many visuals as possible on a single page;Avoiding any filters or slicers;Mixing unrelated KPIs into one tile;Using only text tiles with no charts,1,false,,2;0,,,,
Create Real-Time Dashboards with Microsoft Fabric,8,How do Real-Time Dashboards relate to the Real-Time hub?,They can consume real-time data exposed through the hub;They manage the Real-Time hub configuration directly;They replace the hub for data routing;They are required to create Eventstreams;They can only use non-real-time warehouse data,1,false,,2;0,,,,
Create Real-Time Dashboards with Microsoft Fabric,9,Why are thresholds and target lines useful in Real-Time Dashboards?,They visually show when live metrics exceed acceptable ranges;They calculate ETL pipeline durations;They enforce user permissions automatically;They create new Eventhouse tables;They schedule Power BI dataset refreshes,1,false,,2;0,,,,
Create Real-Time Dashboards with Microsoft Fabric,10,Which scenario best fits using a Real-Time Dashboard?,Monitoring sensor readings and error rates with updates every few seconds;Designing a yearly budget planning report;Publishing a static shareholder letter;Displaying a once-per-year compliance scorecard;Printing a monthly invoice batch,1,false,,2;0,,,,
Create Real-Time Dashboards with Microsoft Fabric,11,How does tile auto-refresh behavior support real-time monitoring?,"Tiles update as new data arrives so the view reflects the current state;Tiles only refresh when the user reopens the browser;Tiles refresh only after a manual ""refresh"" click;Tiles never refresh once loaded;Tiles refresh only once per day at midnight",1,false,,2;0,,,,
Create Real-Time Dashboards with Microsoft Fabric,12,What is a good practice when wiring Eventhouse queries to dashboard tiles?,Limit the query to relevant time windows and metrics for the tile's purpose;Query the entire history without filters on every tile;Include unrelated columns to reuse across tiles;Avoid using time filters to keep queries simple;Use one giant query for all tiles combined,1,false,,2;0,,,,
Create Real-Time Dashboards with Microsoft Fabric,13,How can Real-Time Dashboards support incident response workflows?,By surfacing live metrics that indicate issues and guiding teams to act quickly;By storing detailed incident tickets directly in tiles;By preventing any visibility into active issues;By freezing visualizations during an incident;By sending all incidents to a PowerPoint summary automatically,1,false,,2;0,,,,
Create Real-Time Dashboards with Microsoft Fabric,14,Which type of visualization is commonly used in Real-Time Dashboards for streaming metrics?,Line charts or cards that update continuously;Static pie charts with annual values;Gantt charts for long projects only;Tree maps with static categories;Word clouds generated from documents,1,false,,3;0,,,,
Create Real-Time Dashboards with Microsoft Fabric,15,Which statement best summarizes the role of Real-Time Dashboards in Real-Time Intelligence?,They provide a live visual layer over streaming and Eventhouse data for monitoring;They replace ingestion and storage components like Eventstream and Eventhouse;They serve only as design tools for semantic models;They are limited to offline Excel-based snapshots;They are used solely to define user roles and permissions,1,false,,2;0,,,,
Use Activator in Microsoft Fabric,1,What is Fabric Activator primarily designed to do in Microsoft Fabric?,Detect patterns or conditions in data and automatically trigger actions;Store raw streaming data for long-term historical analysis;Design visualization layouts for real-time dashboards;Replace Eventstream for all data ingestion tasks;Act only as a manual alerting console for operators,1,false,,4;1,,,,
Use Activator in Microsoft Fabric,2,What is the primary function of Activator in Microsoft Fabric's Real-Time Intelligence?,To detect patterns or conditions in streaming data and automatically trigger actions;To store raw event data for long-term analysis;To create and manage real-time dashboards;To ingest and transform streaming events;To manage workspace security and permissions,1,false,,3;0,,,,
Use Activator in Microsoft Fabric,3,What is the first configuration concept you typically define when using Activator?,Business objects and their properties based on event data;Star-schema dimensions and facts for a warehouse;Power BI dataflows for semantic modeling;SSIS-style packages for ETL movement;Manual alert emails for each user account,1,false,,8;2,,,,
Use Activator in Microsoft Fabric,4,How does Activator usually connect to streaming data in Fabric?,By subscribing to one or more Eventstreams as data sources;By importing only CSV files uploaded once a day;By reading static Excel files from OneDrive;By querying only Lakehouse tables via T-SQL;By consuming screenshots of Power BI dashboards,1,false,,4;1,,,,
Use Activator in Microsoft Fabric,5,What is the main purpose of a rule in Activator?,Evaluate conditions on object properties to decide when to trigger actions;Define table schemas for KQL databases in Eventhouse;Set user permissions for Real-Time Dashboards;Configure network connectivity between capacities;Design themes and colors for Power BI reports,1,false,,3;0,,,,
Use Activator in Microsoft Fabric,6,Which of the following is a typical action that Activator can trigger?,Launch a Fabric pipeline;Run a notebook;Send a Power Automate notification;Create a new Eventstream source;Rebuild Eventhouse tables,1,false,,12;3,,,,
Use Activator in Microsoft Fabric,7,"Why is Activator considered ""no-code"" for many scenarios?",Rules objects and actions are configured visually without writing custom code;All rules are written in C# and compiled by Fabric;Only Python notebooks can define Activator logic;KQL scripts must be authored for every rule;YAML configuration files are mandatory for all actions,1,false,,2;0,,,,
Use Activator in Microsoft Fabric,8,How are business objects defined in Activator?,By mapping an object ID and related properties from one or more eventstreams;By importing object definitions from PowerPoint slides;By manually entering IDs with no link to data;By generating random IDs unrelated to events;By copying object schemas from SQL Server Agent jobs,1,false,,4;1,,,,
Use Activator in Microsoft Fabric,9,"What does it mean when a rule in Activator is ""activated""?",The rule conditions have been met and the configured action is triggered;The rule has been saved but never evaluated;The rule has been disabled permanently;The rule has been exported to another workspace;The rule has been converted into a Power BI measure,1,false,,2;0,,,,
Use Activator in Microsoft Fabric,10,"How does Activator help avoid ""alert spam"" when monitoring streaming data?",By using stateful evaluations and previews to control when alerts fire;By sending every event as an alert without filtering;By disabling rules after the first alert is sent;By forcing alerts only once per day at midnight;By restricting all alerts to a single global rule,1,false,,2;0,,,,
Use Activator in Microsoft Fabric,11,What is a common pattern for integrating Activator with other Fabric services?,Eventstream → Activator rule → Pipeline/Notebook/Power Automate action;Lakehouse → Activator → Replace Eventstream and Eventhouse;Activator → Warehouse → Manual email from Excel;Eventhouse → Activator → Static PowerPoint export;Real-Time Dashboard → Activator → Rebuild semantic model,1,false,,2;0,,,,
Use Activator in Microsoft Fabric,12,Which scenario is a strong fit for Activator usage?,Triggering a Teams notification when sensor readings exceed thresholds;Designing interactive visuals for quarterly board decks;Running a monthly data archive job to cold storage;Defining slowly changing dimensions in a warehouse;Exporting yearly financial statements as PDF files,1,false,,2;0,,,,
Use Activator in Microsoft Fabric,13,"How does Activator treat ""active object IDs"" during rule evaluation?",It focuses on objects receiving events within a lookback window to stay relevant;It evaluates all historical objects regardless of recent activity;It ignores the concept of object IDs entirely;It treats every object as active forever;It only evaluates one object at a time globally,1,false,,2;0,,,,
Use Activator in Microsoft Fabric,14,"What is one benefit of the ""preview"" capability when configuring rules in Activator?",It estimates how often the rule would have fired on historical data;It automatically rewrites rules into optimized KQL;It runs a full production test that cannot be rolled back;It permanently commits all actions before activation;It generates a complete incident runbook in Word format,1,false,,2;0,,,,
Use Activator in Microsoft Fabric,15,Which statement best summarizes the role of Activator in Real-Time Intelligence?,It converts streaming insights into automated event-driven actions across Fabric and external systems;It replaces the need for visualization and monitoring layers in Fabric;It serves only as a storage engine for event data;It is used exclusively to configure Fabric capacities;It is a one-time setup wizard with no runtime behavior,1,false,,2;0,,,,
