section,id,question,options,correct,multi,notas,metrics,second_question,second_options,second_correct,second_explanation
Implement continuous integration and continuous delivery (CI/CD) in Microsoft Fabric,11,How do deployment rules in pipelines help CI/CD?,They adjust settings like connections per stage without changing source;They drop all credentials in every deployment;They prevent item renames in dev;They force all stages to share the same connections;They block reuse of semantic models,1,false,,3;0,,,,
Implement continuous integration and continuous delivery (CI/CD) in Microsoft Fabric,12,Which Fabric items are commonly moved with deployment pipelines?,Reports semantic models dataflows and other supported items;Only notebooks and warehouses;Only Power BI reports;Only OneLake shortcuts;Only Eventstreams,1,false,,3;0,,,,
Implement continuous integration and continuous delivery (CI/CD) in Microsoft Fabric,13,Why is it recommended to separate dev test and prod workspaces for CI/CD?,To reduce risk by testing changes before exposing them to users;To increase storage usage intentionally;To avoid using capacities;To ensure all users edit production;To disable item lineage,1,false,,3;0,,,,
Implement continuous integration and continuous delivery (CI/CD) in Microsoft Fabric,14,Which action best represents continuous integration in a Fabric scenario?,Developers commit changes frequently to a shared Git branch;Admins export workspaces weekly to a ZIP file;Users open reports daily in production;Operators monitor refresh history monthly;Analysts send screenshots by email,1,false,,4;1,,,,
Implement continuous integration and continuous delivery (CI/CD) in Microsoft Fabric,15,Which action best represents continuous delivery in a Fabric scenario?,Regularly promoting tested artifacts through pipeline stages;Occasionally copying items manually between workspaces;Rebuilding workspaces from scratch every year;Refreshing datasets on a schedule only;Sharing links to dev reports with executives,1,false,,8;2,,,,
Monitor activities in Microsoft Fabric,1,What is the main purpose of monitoring in Microsoft Fabric?,To gain visibility into the health and status of activities;To increase storage quotas for workspaces;To automatically create semantic models;To schedule CI/CD deployments;To configure tenant‑level capacities,1,false,,2;0,,,,
Monitor activities in Microsoft Fabric,2,What does the Monitoring hub primarily aggregate?,Activity data from Fabric items you have permission to view;All Azure AD sign‑in logs;Only capacity metrics for the tenant;Only Power BI report views;Data from external Azure Log Analytics only,1,false,,2;0,,,,
Monitor activities in Microsoft Fabric,3,Which statement best describes the Monitoring hub scope?,It shows activities across all accessible workspaces;It shows only the current workspace;It is limited to Power BI semantic models;It is restricted to admin users only;It displays only warehouse queries,1,false,,2;0,,,,
Monitor activities in Microsoft Fabric,4,Which types of activities can typically be inspected in the Monitoring hub?,Dataflows pipelines notebooks semantic model refreshes and more;Only report view events;Only Activator triggers;Only CI/CD deployments;Only capacity scale‑up operations,1,false,,2;0,,,,
Monitor activities in Microsoft Fabric,5,Why are filters in the Monitoring hub useful?,They help focus on specific statuses item types or time ranges;They permanently delete old monitoring entries;They change workspace permissions automatically;They move items between capacities;They export items to Git,1,false,,2;0,,,,
Monitor activities in Microsoft Fabric,6,Which column is most relevant when investigating performance of pipeline runs?,Duration;Owner;Capacity name;Git branch;Data type,1,false,,2;0,,,,
Monitor activities in Microsoft Fabric,7,How can the Monitoring hub assist in troubleshooting failed activities?,By showing error status timestamps and item details;By auto‑fixing all pipeline configurations;By reverting Git commits;By deleting the failed item;By scaling the capacity automatically,1,false,,2;0,,,,
Monitor activities in Microsoft Fabric,8,What is the primary role of Microsoft Fabric Activator?,Triggering actions when patterns or conditions are detected;Editing notebooks directly;Creating new capacities;Defining workspace roles;Building semantic models,1,false,,2;0,,,,
Monitor activities in Microsoft Fabric,9,Which use case is most appropriate for Activator in a monitoring scenario?,Sending alerts when streaming metrics exceed a threshold;Rewriting all Power BI measures;Renaming workspaces nightly;Changing tenant settings on failures;Deleting old workspaces monthly,1,false,,2;0,,,,
Monitor activities in Microsoft Fabric,10,How does monitoring support operational reliability in Fabric?,By enabling early detection of failures or delays in activities;By automatically creating backup tenants;By preventing users from editing items;By disabling pipeline schedules;By locking all workspaces in read‑only mode,1,false,,2;0,,,,
Monitor activities in Microsoft Fabric,11,Why is it important to understand item type when analyzing Monitoring hub entries?,Different item types have different runtime characteristics and failure modes;Item type determines user license cost;Item type controls workspace storage limit;Item type chooses which tenant hosts the item;Item type sets the Git branch automatically,1,false,,2;0,,,,
Monitor activities in Microsoft Fabric,12,Which action can you take after identifying a failing dataflow in Monitoring hub?,Open its details and rerun or edit the dataflow;Delete the capacity that hosts it;Convert it to a notebook automatically;Move it to another tenant instantly;Disable Git integration for the workspace,1,false,,2;0,,,,
Monitor activities in Microsoft Fabric,13,When monitoring semantic model refreshes which metric is especially important?,Refresh duration compared to historical runs;Number of report pages;Tenant region name;Workspace display color;Number of columns in the model folder,1,false,,2;0,,,,
Monitor activities in Microsoft Fabric,14,Why might you customize columns in the Monitoring hub view?,To surface the most relevant fields for your investigation;To hide all status information from other users;To change data retention of activity logs;To rename workspaces automatically;To change capacity SKU,1,false,,2;0,,,,
Monitor activities in Microsoft Fabric,15,How do monitoring and Activator complement each other in Fabric?,Monitoring observes activities while Activator triggers automated responses;Both only collect audit logs with no actions;Monitoring replaces the need for Activator;Activator replaces the Monitoring hub;Neither is relevant for streaming workloads,1,false,,2;0,,,,
Secure data access in Microsoft Fabric,1,What does the Fabric security model primarily control?,Access to workspaces items and underlying data;Only capacity SKU and region;Only tenant‑wide settings;Only refresh schedules;Only Git repositories,1,false,,4;0,,,,
Secure data access in Microsoft Fabric,2,What is the main purpose of workspace roles in Fabric?,To define what users can do with all items in the workspace;To set retention policies for activity logs;To configure CI/CD stages;To manage Azure subscriptions;To control semantic model refresh frequency,1,false,,3;0,,,,
Secure data access in Microsoft Fabric,3,Which workspace role typically grants full control over all items?,Admin;Viewer;Contributor;Member;Reader,1,false,,3;0,,,,
Secure data access in Microsoft Fabric,4,Why might you assign item‑level permissions instead of only workspace roles?,To restrict or share specific objects more granularly;To change capacity size automatically;To manage tenant settings;To override region placement;To disable monitoring hub access,1,false,,2;0,,,,
Secure data access in Microsoft Fabric,5,Which item permission is most appropriate for someone who should only view reports?,Read;Build;Contribute;Admin;Reshare,1,false,,2;0,,,,
Secure data access in Microsoft Fabric,6,What does the Build permission on a semantic model allow?,Creating new reports using that model;Granting admin rights on the workspace;Changing tenant settings;Managing capacities;Editing Git repositories,1,false,,2;0,,,,
Secure data access in Microsoft Fabric,7,Why is it important to understand engine‑specific granular permissions?,Each Fabric engine enforces its own data‑level security and roles;They replace all workspace roles;They only apply to Git commit history;They govern tenant creation;They configure OneLake regions,1,false,,2;0,,,,
Secure data access in Microsoft Fabric,8,Which technique provides row‑level filtering of data in a Fabric warehouse?,Row‑level security;Dynamic data masking;Column‑level encryption;Workspace roles;Capacity assignment,1,false,,2;0,,,,
Secure data access in Microsoft Fabric,9,What is the main purpose of dynamic data masking in a warehouse?,To obscure sensitive values for non‑privileged users;To compress large tables automatically;To speed up all queries;To move data between regions;To refresh semantic models,1,false,,4;1,,,,
Secure data access in Microsoft Fabric,10,Which feature restricts access to specific columns with sensitive data?,Column‑level security;Row‑level security;Workspace roles;Deployment pipelines;Monitoring hub,1,false,,2;0,,,,
Secure data access in Microsoft Fabric,11,How are granular permissions typically configured in a Fabric warehouse?,By using T‑SQL GRANT and DENY on database objects;By editing notebooks in Python;By changing tenant region;By modifying CI/CD pipelines;By using only workspace roles,1,false,,4;1,,,,
Secure data access in Microsoft Fabric,12,Why should you combine workspace permissions with granular engine permissions?,Workspace controls item access while engine rules control data exposure;To avoid using Azure AD;To bypass tenant settings;To disable monitoring;To prevent CI/CD usage,1,false,,2;0,,,,
Secure data access in Microsoft Fabric,13,Which scenario best illustrates applying row‑level security?,Region managers only see data for their own region;All users see fully masked data;Developers see only table schemas;Admins see only metadata;Users see only aggregated totals,1,false,,16;4,,,,
Secure data access in Microsoft Fabric,14,Which principle should guide data access configuration in Fabric?,Least privilege access for each role;Grant all users full control;Prefer workspace admin for everyone;Disable all role assignments;Use only anonymous access,1,false,,2;0,,,,
Secure data access in Microsoft Fabric,15,Why is it important to test security with accounts that represent real roles?,To verify that permissions and masking behave as intended for each role;To reduce monitoring requirements;To avoid creating groups in Entra ID;To force all users to share one account;To disable CI/CD pipelines,1,false,,2;0,,,,
Administer a Microsoft Fabric environment,1,Which statement best describes Microsoft Fabric architecture?,A SaaS analytics platform built on tenants capacities and workspaces;A single on‑premises database engine;A desktop‑only reporting tool;A pure storage account service;A virtualization layer for VMs,1,false,,4;0,,,,
Administer a Microsoft Fabric environment,2,What is a Fabric tenant primarily associated with?,An organization’s boundary for Fabric services;A single workspace;A single capacity node;A Power BI report;A Git repository,1,false,,4;0,,,,
Administer a Microsoft Fabric environment,3,What is the role of a Fabric capacity?,To provide compute and storage resources for Fabric workloads;To manage Azure subscriptions;To store only semantic models;To define CI/CD stages;To configure Git integration,1,false,,3;0,,,,
Administer a Microsoft Fabric environment,4,How are workspaces related to capacities?,Workspaces are assigned to a capacity that backs their items;Capacities are created inside each workspace;Workspaces and capacities are unrelated;Capacities exist only for Power BI;Workspaces define the tenant region,1,false,,16;4,,,,
Administer a Microsoft Fabric environment,5,Which responsibility is typical for a Fabric administrator?,Configuring tenant settings and managing capacities;Authoring end‑user reports only;Editing notebooks for data science;Writing application code in Git;Running manual backups on VMs,1,false,,3;0,,,,
Administer a Microsoft Fabric environment,6,Which task is commonly performed in the Fabric admin center?,Managing who can create workspaces and use trial capacities;Creating reports from semantic models;Authoring KQL queries;Scheduling notebook runs;Editing CI/CD pipelines,1,false,,4;0,,,,
Administer a Microsoft Fabric environment,7,Why is governance important in a Fabric environment?,It ensures data usage is secure compliant and standardized;It forces all users to be admins;It disables collaboration across teams;It replaces monitoring;It avoids using capacities,1,false,,3;0,,,,
Administer a Microsoft Fabric environment,8,Which feature can help govern data across Fabric and other services?,Microsoft Purview integration;Deployment pipelines;Monitoring hub;Git branches;Workspace shortcuts,1,false,,3;0,,,,
Administer a Microsoft Fabric environment,9,Which admin setting can control workspace creation?,Restricting who can create workspaces in the tenant;Locking all workspaces to a single region;Forcing all workspaces into one capacity;Disabling semantic models;Blocking OneLake access,1,false,,3;0,,,,
Administer a Microsoft Fabric environment,10,Why should an admin understand different Fabric workloads like Data Engineering or Real‑Time Intelligence?,To allocate capacity and permissions according to workload needs;To write all production notebooks;To bypass CI/CD processes;To replace tenant settings;To avoid monitoring activities,1,false,,5;1,,,,
Administer a Microsoft Fabric environment,11,Which practice helps manage Fabric security effectively?,Using groups in Entra ID to assign roles consistently;Assigning roles directly to each individual only;Granting admin to all users by default;Disabling workspace roles;Avoiding use of Entra ID groups,1,false,,3;0,,,,
Administer a Microsoft Fabric environment,12,What is a common way to govern data locations and sharing?,Using policies and Purview to control where data can reside and who can access it;Disabling all external sharing;Deleting unused workspaces monthly only;Moving all data to local drives;Using only email approvals,1,false,,3;0,,,,
Administer a Microsoft Fabric environment,13,Which metric is most relevant when monitoring capacity health?,Utilization and overload events over time;Number of workspaces names;Count of admin users;Number of Git branches;Quantity of dashboards,1,false,,3;0,,,,
Administer a Microsoft Fabric environment,14,Why is role separation important in a Fabric environment?,It reduces risk by distinguishing admin developer and consumer responsibilities;It ensures everyone can change tenant settings;It prevents monitoring;It forces all work in a single workspace;It disables CI/CD processes,1,false,,3;0,,,,
Administer a Microsoft Fabric environment,15,Which action best demonstrates governing data in Fabric?,Defining policies roles and processes for data security and lifecycle;Allowing any user to export data anywhere;Ignoring lineage and impact analysis;Keeping all items in personal workspaces;Turning off all monitoring,1,false,,3;0,,,,
